GeoID,GeoIDTwo,GeoDisplay,Total,PercentBelow,PercentBelowError,TotalMale,PercentBelowMale,PercentBelowMaleError,TotalFemale,PercentBelowFemale,PercentBelowFemaleError
1400000US19013002000,19013002000,"Census Tract 20, Black Hawk County, Iowa",5366,12.9,5.1,2493,11.3,7.5,2873,14.3,6.1
1400000US19013002200,19013002200,"Census Tract 22, Black Hawk County, Iowa",4165,16.7,4.4,2273,16.9,5.7,1892,16.4,6.6
1400000US19013002301,19013002301,"Census Tract 23.01, Black Hawk County, Iowa",2240,12.8,7,1231,8.4,5.6,1009,18.2,9.5
1400000US19013002303,19013002303,"Census Tract 23.03, Black Hawk County, Iowa",1476,65.4,10.8,752,79.4,8.8,724,51,19.3
1400000US19013002304,19013002304,"Census Tract 23.04, Black Hawk County, Iowa",2524,32.1,9.5,957,11.8,7.8,1567,44.5,10.9
1400000US19013002400,19013002400,"Census Tract 24, Black Hawk County, Iowa",4100,7.1,3.6,1975,7.2,3.8,2125,7.1,3.9
1400000US19013002500,19013002500,"Census Tract 25, Black Hawk County, Iowa",5199,8.9,4.9,2519,8.6,5.3,2680,9.1,5.8
1400000US19013002601,19013002601,"Census Tract 26.01, Black Hawk County, Iowa",3800,22.8,7.5,1805,20.9,7.4,1995,24.5,8.9
1400000US19013002603,19013002603,"Census Tract 26.03, Black Hawk County, Iowa",9893,23.2,4.3,5073,20.9,5.3,4820,25.6,6.3
1400000US19013002604,19013002604,"Census Tract 26.04, Black Hawk County, Iowa",4170,5.3,2.5,2147,5.7,2.7,2023,4.7,3
1400000US19013002700,19013002700,"Census Tract 27, Black Hawk County, Iowa",3663,4,2,1875,3.1,2.2,1788,5,2.3
1400000US19013002800,19013002800,"Census Tract 28, Black Hawk County, Iowa",2967,3.5,2,1538,3.4,2,1429,3.7,2.4
1400000US19013002901,19013002901,"Census Tract 29.01, Black Hawk County, Iowa",1434,4.9,2.9,806,1.6,1.7,628,9.1,5.9
1400000US19013002902,19013002902,"Census Tract 29.02, Black Hawk County, Iowa",3956,5.5,2.6,1989,5.9,3.5,1967,5.1,2.2
